[2021-05-17 01:43:31.067] Starting up round ID 13.
 - -------------------------
[2021-05-17 02:04:16.266] TCOMMS: DanteThanatos/(Dr Oswald Casket) [Common] (spans:  ) "Sério?" (language: Galactic Common) (Followers of the Apocalypse (88, 55, 3))
[2021-05-17 02:12:36.079] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Bem... Nem sempre." (language: Galactic Common) (Followers of the Apocalypse (94, 52, 2))
[2021-05-17 02:12:55.213] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Dante nunca se lembra daquela vez onde o cérebro do cara virou um almoço dos tribais." (language: Galactic Common) (Followers of the Apocalypse (94, 52, 2))
[2021-05-17 02:13:11.355] TCOMMS: Dantesousa/(Dante Sousa) [Medical] (spans:  ) "Não quero.. me lembrar disso." (language: Galactic Common) (Followers of the Apocalypse (86, 55, 3))
[2021-05-17 02:13:37.146] TCOMMS: Dantesousa/(Dante Sousa) [Common] (spans:  ) "Teste" (language: Galactic Common) (Followers of the Apocalypse (81, 54, 2))
[2021-05-17 02:14:31.352] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "A gente tem uma area para pesquisa ne?" (language: Galactic Common) (Followers of the Apocalypse (88, 50, 3))
[2021-05-17 02:14:49.969] TCOMMS: DanteThanatos/(Dr Oswald Casket) [Medical] (spans:  ) "Temos ORM agora" (language: Galactic Common) (Caves (87, 69, 3))
[2021-05-17 02:15:33.349] TCOMMS: FidgetyBacchus/(Yun-Seo Kierst) [Medical] (spans:  ) "Cuidado com os deathclaw." (language: Galactic Common) (Caves (99, 80, 3))
[2021-05-17 02:18:05.987] TCOMMS: Dantesousa/(Dante Sousa) [Common] (spans:  ) "Quantum medicine stimpak na clinica." (language: Galactic Common) (Followers of the Apocalypse (83, 55, 3))
[2021-05-17 02:18:13.276] TCOMMS: guizog/(Bob Merlin) [Common] (spans:  ) "Eh memo" (language: Galactic Common) (Wasteland (67, 167, 2))
[2021-05-17 02:18:19.179] TCOMMS: Dantesousa/(Dante Sousa) [Common] (spans:  ) "Eh mesmo" (language: Galactic Common) (Followers of the Apocalypse (82, 50, 3))
[2021-05-17 02:19:11.147] TCOMMS: Eversonblr/(Miguel Hastings) [BOS] (spans:  ) "Estarei saindo pra pega sucatas" (language: Galactic Common) (Brotherhood of Steel (170, 218, 2))
[2021-05-17 02:19:13.532] TCOMMS: Dantesousa/(Dante Sousa) [Common] (spans:  ) "A vending machine do lado de fora tem 3, 20 caps cada" (language: Galactic Common) (Followers of the Apocalypse (85, 55, 2))
[2021-05-17 02:19:18.669] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Cuidado" (language: Galactic Common) (Brotherhood of Steel (148, 228, 2))
[2021-05-17 02:20:23.368] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Qualquer relate no radio que eu vou correndo" (language: Galactic Common) (Brotherhood of Steel (155, 234, 2))
[2021-05-17 02:20:39.514] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Qualquer coisa..." (language: Galactic Common) (Brotherhood of Steel (153, 234, 2))
[2021-05-17 02:21:01.345] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Raiders na entrada." (language: Galactic Common) (Followers of the Apocalypse (94, 53, 2))
[2021-05-17 02:21:02.901] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Dois." (language: Galactic Common) (Followers of the Apocalypse (94, 53, 2))
[2021-05-17 02:22:20.077] TCOMMS: Eversonblr/(Miguel Hastings) [Common] (spans:  ) "Waterland que quiser se junta ao Bos so comparecer a porta" (language: Galactic Common) (Brotherhood of Steel Operations Department (228, 239, 3))
[2021-05-17 02:22:37.813] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Waterland é foda hehe" (language: Galactic Common) (Brotherhood of Steel (125, 237, 2))
[2021-05-17 02:24:13.047] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Dois invasores." (language: Galactic Common) (Followers of the Apocalypse (94, 54, 2))
[2021-05-17 02:24:16.619] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Parte de baixo." (language: Galactic Common) (Followers of the Apocalypse (94, 54, 2))
[2021-05-17 02:24:45.463] TCOMMS: Dantesousa/(Dante Sousa) [Medical] (spans:  ) "Cade a mecanica" (language: Galactic Common) (Caves (117, 39, 3))
[2021-05-17 02:24:57.177] TCOMMS: Marco25555/(Nydia S. Highlands) [Medical] (spans:  ) "Aqui" (language: Galactic Common) (Followers of the Apocalypse (85, 52, 3))
[2021-05-17 02:25:15.947] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Eles tem que espera la fora" (language: Galactic Common) (Followers of the Apocalypse (86, 50, 3))
[2021-05-17 02:25:21.156] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "Eles estão dentro." (language: Galactic Common) (Followers of the Apocalypse (88, 50, 2))
[2021-05-17 02:25:29.754] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Os dois entraram no armazem" (language: Galactic Common) (Followers of the Apocalypse (86, 49, 3))
[2021-05-17 02:27:30.438] TCOMMS: Eversonblr/(Miguel Hastings) [Common] (spans: command_headset  ) "ALOOOOOOOOO" (language: Galactic Common) (Brotherhood of Steel RnD Department (236, 194, 3))
[2021-05-17 02:27:41.753] TCOMMS: guizog/(Bob Merlin) [Common] (spans:  ) "O de baixo é gay" (language: Galactic Common) (Village (156, 177, 2))
[2021-05-17 02:27:50.257] TCOMMS: Eversonblr/(Miguel Hastings) [Common] (spans: command_headset  ) "O DE CIMA TA MENTINDO" (language: Galactic Common) (Brotherhood of Steel RnD Department (232, 209, 3))
[2021-05-17 02:27:59.695] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Povo apresado nem deixou eu aplicar o remedio" (language: Galactic Common) (Followers of the Apocalypse (81, 57, 2))
[2021-05-17 02:28:09.244] TCOMMS: Eversonblr/(Miguel Hastings) [Common] (spans: command_headset  ) "EU VENDO ESSE MAGPHONE QUEM QUER COMPRA ?" (language: Galactic Common) (Brotherhood of Steel RnD Department (235, 204, 3))
[2021-05-17 02:29:01.699] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "Herou? Chefia?" (language: Galactic Common) (Followers of the Apocalypse (98, 45, 3))
[2021-05-17 02:29:08.336] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "Posso precisar de sementes para MADEIRA!" (language: Galactic Common) (Followers of the Apocalypse (98, 45, 3))
[2021-05-17 02:29:10.378] TCOMMS: Dantesousa/(Dante Sousa) [Medical] (spans:  ) "Diz" (language: Galactic Common) (Caves (118, 82, 3))
[2021-05-17 02:29:26.644] TCOMMS: Eversonblr/(Miguel Hastings) [BOS] (spans:  ) "To pegando sucatas" (language: Galactic Common) (Wasteland (160, 206, 2))
[2021-05-17 02:29:30.688] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Certo" (language: Galactic Common) (Caves (221, 183, 3))
[2021-05-17 02:31:55.083] TCOMMS: Dantesousa/(Dante Sousa) [Medical] (spans:  ) "Ajuda aqui, rapido." (language: Galactic Common) (Enclave (137, 20, 3))
[2021-05-17 02:32:00.047] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Onde?" (language: Galactic Common) (Followers of the Apocalypse (85, 55, 3))
[2021-05-17 02:32:31.993] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Ta na mina?" (language: Galactic Common) (Followers of the Apocalypse (88, 55, 3))
[2021-05-17 02:34:05.770] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Tinha que ter ligado os sensores" (language: Galactic Common) (Followers of the Apocalypse (105, 42, 3))
[2021-05-17 02:34:14.370] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "Não dá, rapaz." (language: Galactic Common) (Followers of the Apocalypse (90, 44, 2))
[2021-05-17 02:34:18.635] TCOMMS: Eversonblr/(Miguel Hastings) [BOS] (spans:  ) "Ajuda" (language: Galactic Common) (Wasteland (176, 201, 2))
[2021-05-17 02:34:19.664] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "Sensores não existe nesses uniformes." (language: Galactic Common) (Followers of the Apocalypse (90, 44, 2))
[2021-05-17 02:34:23.086] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Onde?!" (language: Galactic Common) (Brotherhood of Steel (143, 237, 2))
[2021-05-17 02:34:40.958] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Ata a gente é pobre" (language: Galactic Common) (Followers of the Apocalypse (101, 41, 3))
[2021-05-17 02:34:54.014] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "Descobriu isso agora?" (language: Galactic Common) (Followers of the Apocalypse (80, 56, 2))
[2021-05-17 02:35:09.903] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Sera que o dante ta bem?" (language: Galactic Common) (Followers of the Apocalypse (85, 56, 3))
[2021-05-17 02:35:19.431] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "Não. Possa ter morrido logo." (language: Galactic Common) (Followers of the Apocalypse (85, 57, 2))
[2021-05-17 02:35:24.653] TCOMMS: Dantesousa/(Dante Sousa) [Medical] (spans:  ) "Nos metemos em problemas com a enclave, espere." (language: Galactic Common) (Enclave (132, 20, 3))
[2021-05-17 02:35:24.665] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "Problema é, onde?" (language: Galactic Common) (Followers of the Apocalypse (85, 57, 2))
[2021-05-17 02:35:37.814] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Provavelmente na mina eu acho" (language: Galactic Common) (Followers of the Apocalypse (101, 42, 3))
[2021-05-17 02:35:45.573] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "Deve ser." (language: Galactic Common) (Followers of the Apocalypse (79, 57, 2))
[2021-05-17 02:36:22.446] TCOMMS: Syndi-Pudim/(Fernadinho Beiramar) [148.9] (spans:  ) "Comando vermelho recrutando" (language: Galactic Common) (Brotherhood of Steel (168, 216, 2))
[2021-05-17 02:36:46.146] TCOMMS: FidgetyBacchus/(Yun-Seo Kierst) [Medical] (spans:  ) "A gente descobriu que a gente é vizinho dos enclave remnants." (language: Galactic Common) (Caves (118, 74, 3))
[2021-05-17 02:37:17.202] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Vou fica de SSD por uns 3 minutos" (language: Galactic Common) (Followers of the Apocalypse (91, 59, 3))
[2021-05-17 02:37:51.399] TCOMMS: eversonblr/(Caitlin Ackerley) [BOS] (spans:  ) "Tudo bem ?" (language: Galactic Common) (Brotherhood of Steel Operations Department (228, 237, 3))
[2021-05-17 02:39:06.403] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "Seguinte... Precisa de mais semente não." (language: Galactic Common) (Wasteland (84, 60, 2))
[2021-05-17 02:40:17.485] TCOMMS: eversonblr/(Caitlin Ackerley) [BOS] (spans:  ) "Acho ?" (language: Galactic Common) (Wasteland (109, 181, 2))
[2021-05-17 02:41:11.176] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Voltei quem ainda ta vivo" (language: Galactic Common) (Followers of the Apocalypse (86, 55, 3))
[2021-05-17 02:41:22.653] TCOMMS: FidgetyBacchus/(Yun-Seo Kierst) [Medical] (spans:  ) "Eu." (language: Galactic Common) (Followers of the Apocalypse (85, 51, 2))
[2021-05-17 02:41:28.443] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "Ainda vivo." (language: Galactic Common) (Followers of the Apocalypse (94, 56, 2))
[2021-05-17 02:41:34.828] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Acho que nosso lider sumiu" (language: Galactic Common) (Followers of the Apocalypse (88, 55, 3))
[2021-05-17 02:41:42.460] TCOMMS: eversonblr/(Caitlin Ackerley) [BOS] (spans:  ) "Acho ?" (language: Galactic Common) (Wasteland (195, 132, 2))
[2021-05-17 02:41:44.569] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "Dava pra esperar." (language: Galactic Common) (Followers of the Apocalypse (94, 56, 2))
[2021-05-17 02:42:08.145] TCOMMS: FidgetyBacchus/(Yun-Seo Kierst) [Medical] (spans:  ) "Dante, tá vivo?" (language: Galactic Common) (Followers of the Apocalypse (84, 50, 2))
[2021-05-17 02:42:19.376] TCOMMS: eversonblr/(Caitlin Ackerley) [BOS] (spans:  ) "Acho eles ?" (language: Galactic Common) (Wasteland (175, 183, 2))
[2021-05-17 02:42:39.189] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "É... Morreu." (language: Galactic Common) (Followers of the Apocalypse (86, 50, 2))
[2021-05-17 02:42:48.924] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Nem sensor a gente tem" (language: Galactic Common) (Followers of the Apocalypse (86, 54, 3))
[2021-05-17 02:43:05.639] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Alo" (language: Galactic Common) (Brotherhood of Steel (169, 220, 2))
[2021-05-17 02:43:05.660] TCOMMS: SondTheAnime/(Courier) [Common] (spans:  italics ) "Alo" (language: Galactic Common) (Brotherhood of Steel (169, 220, 2))
[2021-05-17 02:43:11.960] TCOMMS: guizog/(Bob Merlin) [Common] (spans:  ) "Alo quem fala" (language: Galactic Common) (City (71, 37, 2))
[2021-05-17 02:43:16.998] TCOMMS: Dantesousa/(Dante Sousa) [Medical] (spans:  ) "To voltando." (language: Galactic Common) (Bunker (174, 102, 3))
[2021-05-17 02:43:19.209] TCOMMS: eversonblr/(Caitlin Ackerley) [BOS] (spans:  ) "Acho eles ?" (language: Galactic Common) (Wasteland (119, 110, 2))
[2021-05-17 02:43:26.633] TCOMMS: FidgetyBacchus/(Yun-Seo Kierst) [Medical] (spans:  ) "Que susto porra." (language: Galactic Common) (Followers of the Apocalypse (85, 57, 3))
[2021-05-17 02:43:31.034] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Teste" (language: Galactic Common) (Brotherhood of Steel (169, 221, 2))
[2021-05-17 02:43:49.262] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "PaladinO?" (language: Galactic Common) (Brotherhood of Steel (169, 221, 2))
[2021-05-17 02:43:54.648] TCOMMS: eversonblr/(Caitlin Ackerley) [BOS] (spans:  ) "Oi" (language: Galactic Common) (Wasteland (141, 64, 2))
[2021-05-17 02:44:00.605] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Cade você?" (language: Galactic Common) (Brotherhood of Steel (169, 222, 2))
[2021-05-17 02:44:04.635] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Matei um" (language: Galactic Common) (Brotherhood of Steel (169, 222, 2))
[2021-05-17 02:44:08.490] TCOMMS: eversonblr/(Caitlin Ackerley) [BOS] (spans:  ) "To andando pra ver se acho eles" (language: Galactic Common) (Wasteland (147, 66, 2))
[2021-05-17 02:44:10.257] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Fiz aqui" (language: Galactic Common) (Followers of the Apocalypse (83, 56, 3))
[2021-05-17 02:44:19.699] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Levei o das nossas costas" (language: Galactic Common) (Brotherhood of Steel (169, 221, 2))
[2021-05-17 02:44:52.239] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Ta escuro acho melhorvoltar" (language: Galactic Common) (Brotherhood of Steel (168, 221, 2))
[2021-05-17 02:45:14.448] TCOMMS: eversonblr/(Caitlin Ackerley) [BOS] (spans:  ) "Qual clan era eles ?" (language: Galactic Common) (Wasteland (179, 196, 2))
[2021-05-17 02:45:21.062] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Wastelands eu acho" (language: Galactic Common) (Brotherhood of Steel (169, 222, 2))
[2021-05-17 02:45:23.931] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Não sei ao certo" (language: Galactic Common) (Brotherhood of Steel (169, 222, 2))
[2021-05-17 02:45:32.065] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Esse aqui tava cheio dos scraps" (language: Galactic Common) (Brotherhood of Steel (169, 222, 2))
[2021-05-17 02:45:41.964] TCOMMS: eversonblr/(Caitlin Ackerley) [BOS] (spans:  ) "Cade você" (language: Galactic Common) (Wasteland (178, 182, 2))
[2021-05-17 02:45:45.304] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "QG" (language: Galactic Common) (Brotherhood of Steel (170, 220, 2))
[2021-05-17 02:47:05.088] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Levaram o ele" (language: Galactic Common) (Brotherhood of Steel (136, 237, 2))
[2021-05-17 02:49:15.036] TCOMMS: eversonblr/(Caitlin Ackerley) [BOS] (spans:  ) "Amanha vou atras dos water land" (language: Galactic Common) (Brotherhood of Steel Leisure Areas (219, 235, 3))
[2021-05-17 02:49:31.627] TCOMMS: FidgetyBacchus/(Yun-Seo Kierst) [Medical] (spans:  ) "Vocês sabem onde tem abraxo?" (language: Galactic Common) (Wasteland (118, 89, 2))
[2021-05-17 02:49:42.999] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Certo" (language: Galactic Common) (Brotherhood of Steel Medbay (236, 223, 3))
[2021-05-17 02:50:58.683] TCOMMS: FidgetyBacchus/(Yun-Seo Kierst) [Medical] (spans:  ) "Fudeu." (language: Galactic Common) (Followers of the Apocalypse (85, 53, 2))
[2021-05-17 02:52:28.420] TCOMMS: eversonblr/(Caitlin Ackerley) [BOS] (spans:  ) "To achando nãp" (language: Galactic Common) (Brotherhood of Steel Leisure Areas (229, 248, 3))
[2021-05-17 02:52:32.701] TCOMMS: eversonblr/(Caitlin Ackerley) [BOS] (spans:  ) "Achei" (language: Galactic Common) (Brotherhood of Steel Leisure Areas (230, 248, 3))
[2021-05-17 02:53:24.674] TCOMMS: Zero9e1/(Zack) [148.9] (spans:  ) "Abre" (language: Galactic Common) (Wasteland (168, 215, 2))
[2021-05-17 02:55:13.369] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Chefe tem uma pessoa querendo entrar para usar o ORM" (language: Galactic Common) (Followers of the Apocalypse (86, 56, 2))
[2021-05-17 02:55:19.589] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Pode deixar?" (language: Galactic Common) (Followers of the Apocalypse (86, 56, 2))
[2021-05-17 02:57:09.817] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Daria, poder checar la encima?" (language: Galactic Common) (Brotherhood of Steel Operations Department (232, 229, 3))
[2021-05-17 02:57:25.571] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Ver se ta tudo em ordem e mais nenhuma invasão" (language: Galactic Common) (Brotherhood of Steel Operations Department (232, 220, 3))
[2021-05-17 02:57:55.859] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Você deixo o portão aberto ?" (language: Galactic Common) (Brotherhood of Steel (170, 219, 2))
[2021-05-17 02:58:04.570] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Não..." (language: Galactic Common) (Brotherhood of Steel RnD Department (237, 194, 3))
[2021-05-17 02:58:12.772] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Pegaram id de alguem de nois então" (language: Galactic Common) (Brotherhood of Steel (175, 219, 2))
[2021-05-17 02:58:29.992] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "Bem... Troquei o local do caixão." (language: Galactic Common) (Followers of the Apocalypse (85, 49, 2))
[2021-05-17 02:58:34.890] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "Talvez possam limpar agora sem problemas." (language: Galactic Common) (Followers of the Apocalypse (85, 49, 2))
[2021-05-17 02:58:40.428] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  yell ) "O ID DO ESCRIBÃO!!" (language: Galactic Common) (Brotherhood of Steel Medbay (237, 218, 3))
[2021-05-17 02:58:44.712] TCOMMS: Nickenzo12345/(Rylie Mildred) [Common] (spans:  ) "Ncr daminada" (language: Galactic Common) (Wasteland (26, 215, 2))
[2021-05-17 02:58:47.379] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Vasculhe tudo" (language: Galactic Common) (Brotherhood of Steel Medbay (237, 218, 3))
[2021-05-17 02:58:50.688] TCOMMS: guizog/(Bob Merlin) [Common] (spans:  ) "Tabom puta" (language: Galactic Common) (North Bunker Elevator (45, 233, 4))
[2021-05-17 02:58:53.449] TCOMMS: guizog/(Bob Merlin) [Common] (spans:  ) "Ninguem perguntou" (language: Galactic Common) (North Bunker Elevator (45, 233, 4))
[2021-05-17 02:59:03.259] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Achei um palsma rifle" (language: Galactic Common) (Brotherhood of Steel RnD Department (233, 198, 3))
[2021-05-17 02:59:09.772] TCOMMS: Nickenzo12345/(Rylie Mildred) [Common] (spans:  ) "Quer tomar bala na cara?" (language: Galactic Common) (Wasteland (42, 186, 2))
[2021-05-17 02:59:18.554] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Oh" (language: Galactic Common) (Brotherhood of Steel RnD Department (235, 194, 3))
[2021-05-17 02:59:20.209] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Onde?" (language: Galactic Common) (Brotherhood of Steel Operations Department (244, 244, 3))
[2021-05-17 02:59:22.350] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "É bem op" (language: Galactic Common) (Brotherhood of Steel RnD Department (235, 194, 3))
[2021-05-17 02:59:29.046] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Lá em cima" (language: Galactic Common) (Brotherhood of Steel RnD Department (236, 194, 3))
[2021-05-17 02:59:32.238] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Usaram em mim isso" (language: Galactic Common) (Brotherhood of Steel Operations Department (242, 238, 3))
[2021-05-17 02:59:36.909] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Eu deixei ai lembrei" (language: Galactic Common) (Brotherhood of Steel Operations Department (242, 238, 3))
[2021-05-17 03:01:16.034] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Vidro da botanica ta quebrado" (language: Galactic Common) (Brotherhood of Steel (161, 242, 2))
[2021-05-17 03:01:28.591] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Foi no tiroteio" (language: Galactic Common) (Brotherhood of Steel (133, 241, 2))
[2021-05-17 03:02:16.179] TCOMMS: guizog/(Bob Merlin) [Common] (spans:  ) "Putamerda tem deathclaw dentro da base da nc" (language: Galactic Common) (Wasteland (35, 199, 2))
[2021-05-17 03:02:17.844] TCOMMS: guizog/(Bob Merlin) [Common] (spans:  ) "Ncr" (language: Galactic Common) (Wasteland (35, 199, 2))
[2021-05-17 03:02:22.216] TCOMMS: guizog/(Bob Merlin) [Common] (spans:  ) "Tri bom" (language: Galactic Common) (Wasteland (35, 199, 2))
[2021-05-17 03:02:22.795] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Nao tem como fazer patch?" (language: Galactic Common) (Followers of the Apocalypse (80, 56, 3))
[2021-05-17 03:02:46.253] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Star Knight cade você?" (language: Galactic Common) (Brotherhood of Steel (165, 232, 2))
[2021-05-17 03:03:09.039] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Daria?" (language: Galactic Common) (Brotherhood of Steel (154, 244, 2))
[2021-05-17 03:03:19.341] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Oi" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (237, 249, 3))
[2021-05-17 03:03:19.854] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "Bem. Hora de dormir." (language: Galactic Common) (Caves (88, 64, 3))
[2021-05-17 03:03:26.255] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Cade você?" (language: Galactic Common) (Brotherhood of Steel (135, 237, 2))
[2021-05-17 03:03:30.010] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "Por um tempo, claro." (language: Galactic Common) (Caves (88, 64, 3))
[2021-05-17 03:03:31.536] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Estou subindo" (language: Galactic Common) (Brotherhood of Steel Operations Department (240, 230, 3))
[2021-05-17 03:03:58.417] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Mas vou sair de dia pra recupera as tecnologia" (language: Galactic Common) (Brotherhood of Steel (130, 237, 2))
